X,Y,Condition
50.0,0.2836835661270066,t0
25.0,0.28846583985843405,t0
12.5,0.2742905633847821,t0
6.25,0.28813763689966215,t0
3.125,0.2906847155598904,t0
1.5625,0.2823287802013717,t0
0.78125,0.28234400892698697,t0
0.390625,0.2827034323928173,t0
0.1953125,0.27136654735260624,t0
0.09765625,0.2785247131975965,t0
0.048828125,0.27847477467547643,t0
0.0244140625,0.28383393864353496,t0
0.01220703125,0.289998242469103,t0
0.006103515625,0.2694146391802159,t0
0.0030517578125,0.27874990969680424,t0
0.00152587890625,0.29481455547658975,t0
50.0,0.28256411771187434,+Condition t0
25.0,0.28177749982709677,+Condition t0
12.5,0.2920230619183119,+Condition t0
6.25,0.2984438519048532,+Condition t0
3.125,0.2901142605556066,+Condition t0
1.5625,0.3032896059043699,+Condition t0
0.78125,0.29856793982566526,+Condition t0
0.390625,0.2984182006689006,+Condition t0
0.1953125,0.2955411650132409,+Condition t0
0.09765625,0.3132765310034608,+Condition t0
0.048828125,0.2879483831113395,+Condition t0
0.0244140625,0.26996477707933486,+Condition t0
0.01220703125,0.3060425436151714,+Condition t0
0.006103515625,0.2854230056904317,+Condition t0
0.0030517578125,0.2910788044434303,+Condition t0
0.00152587890625,0.30309550684860526,+Condition t0
50.0,0.11078377437385976,t_x
25.0,0.11975746028550818,t_x
12.5,0.12876109007524084,t_x
6.25,0.16116354581018166,t_x
3.125,0.22181901798879203,t_x
1.5625,0.30975828297377606,t_x
0.78125,0.438243037553338,t_x
0.390625,0.5734918829264433,t_x
0.1953125,0.7012740984936061,t_x
0.09765625,0.8326755892372072,t_x
0.048828125,0.8835056022577839,t_x
0.0244140625,0.927877773260516,t_x
0.01220703125,0.9467185794765275,t_x
0.006103515625,0.8821772537596523,t_x
0.0030517578125,0.9583617664042967,t_x
0.00152587890625,0.9520212642856599,t_x
50.0,0.2184144486471587,+Condition t_x
25.0,0.12635943226156182,+Condition t_x
12.5,0.13789671339777104,+Condition t_x
6.25,0.14010168828720437,+Condition t_x
3.125,0.17756887896968807,+Condition t_x
1.5625,0.23021228427740245,+Condition t_x
0.78125,0.34267693467234633,+Condition t_x
0.390625,0.5215241312796134,+Condition t_x
0.1953125,0.6767364488188518,+Condition t_x
0.09765625,0.8402036833702665,+Condition t_x
0.048828125,0.9340863856212311,+Condition t_x
0.0244140625,0.9719577159431444,+Condition t_x
0.01220703125,1.0203768102711905,+Condition t_x
0.006103515625,1.052605756187203,+Condition t_x
0.0030517578125,1.0419667696812729,+Condition t_x
0.00152587890625,1.051324772312964,+Condition t_x
