X,Y,Condition
50.0,0.3782344342740721,t0
25.0,0.1903254200762526,t0
12.5,0.20515594176951327,t0
6.25,0.20581806524897767,t0
3.125,0.21809364701337006,t0
1.5625,0.25185115367760447,t0
0.78125,0.2832770811127672,t0
0.390625,0.3438386806519334,t0
0.1953125,0.38280226163987274,t0
0.09765625,0.4228804399081962,t0
0.048828125,0.4609449309740894,t0
0.0244140625,0.48568865698525365,t0
0.01220703125,0.4940129374088135,t0
0.006103515625,0.479725306693966,t0
0.0030517578125,0.49943898614312726,t0
0.00152587890625,0.5025262869266861,t0
50.0,0.19391443534297859,+Condition t0
25.0,0.20058125804542198,+Condition t0
12.5,0.19302373167142392,+Condition t0
6.25,0.20698983943066143,+Condition t0
3.125,0.22700819703440378,+Condition t0
1.5625,0.25704419626958436,+Condition t0
0.78125,0.27408249775795057,+Condition t0
0.390625,0.32823364008043776,+Condition t0
0.1953125,0.37650341356886463,+Condition t0
0.09765625,0.4666428911174832,+Condition t0
0.048828125,0.5067875228563243,+Condition t0
0.0244140625,0.5488676014111733,+Condition t0
0.01220703125,0.5641033052060211,+Condition t0
0.006103515625,0.5867531397251043,+Condition t0
0.0030517578125,0.5677018635893415,+Condition t0
0.00152587890625,0.7665979103628768,+Condition t0
50.0,0.1897885634385541,t_x
25.0,0.19302378608917897,t_x
12.5,0.2229337527133695,t_x
6.25,0.2398552019420852,t_x
3.125,0.21524874023853072,t_x
1.5625,0.2474181463753299,t_x
0.78125,0.2943955048386072,t_x
0.390625,0.3626243035048955,t_x
0.1953125,0.37955317157354224,t_x
0.09765625,0.42759364899536584,t_x
0.048828125,0.4660437921512187,t_x
0.0244140625,0.49495557906159154,t_x
0.01220703125,0.46849977881238797,t_x
0.006103515625,0.4752147985614066,t_x
0.0030517578125,0.4580914167761894,t_x
0.00152587890625,0.4758167107682199,t_x
50.0,0.22062081145874587,+Condition t_x
25.0,0.20818172868231308,+Condition t_x
12.5,0.21697683019347908,+Condition t_x
6.25,0.21672819494026985,+Condition t_x
3.125,0.23289326091375934,+Condition t_x
1.5625,0.25605676891832363,+Condition t_x
0.78125,0.2988772743165616,+Condition t_x
0.390625,0.35407654223642027,+Condition t_x
0.1953125,0.44223214030445657,+Condition t_x
0.09765625,0.5103757799774442,+Condition t_x
0.048828125,0.5974429244970586,+Condition t_x
0.0244140625,0.6277627283296241,+Condition t_x
0.01220703125,0.6320244155506506,+Condition t_x
0.006103515625,0.6264997906698239,+Condition t_x
0.0030517578125,0.6272028630298131,+Condition t_x
0.00152587890625,0.6647675267202454,+Condition t_x
