X,Y,Condition
50.0,0.10339508563197167,t0
25.0,0.005733249988155775,t0
12.5,0.10975685413619969,t0
6.25,0.11488848903177205,t0
3.125,0.09585029540039018,t0
1.5625,0.11665024720910912,t0
0.78125,0.16038974626349217,t0
0.390625,0.214901739362873,t0
0.1953125,0.3197821386158619,t0
0.09765625,0.45869978434928327,t0
0.048828125,0.649112596854581,t0
0.0244140625,0.7955857682486269,t0
0.01220703125,0.8859830538107155,t0
0.006103515625,0.959016386916048,t0
0.0030517578125,0.9791683387871005,t0
0.00152587890625,0.9739251006500697,t0
50.0,0.10808858854601054,+Condition t0
25.0,0.09996984337401503,+Condition t0
12.5,0.09929794828260019,+Condition t0
6.25,0.09607140501962651,+Condition t0
3.125,0.11610018598574674,+Condition t0
1.5625,0.11014049573685859,+Condition t0
0.78125,0.1221798508214827,+Condition t0
0.390625,0.1546117187605828,+Condition t0
0.1953125,0.2839463857827861,+Condition t0
0.09765625,0.34629557617360873,+Condition t0
0.048828125,0.5232597284854238,+Condition t0
0.0244140625,0.7173085947694054,+Condition t0
0.01220703125,0.8955392626168378,+Condition t0
0.006103515625,0.9540011515605428,+Condition t0
0.0030517578125,1.0009591936676485,+Condition t0
0.00152587890625,1.0193032961935296,+Condition t0
50.0,0.11112659952347449,t_x
25.0,0.10104143123095718,t_x
12.5,0.09683984613624481,t_x
6.25,0.10195597073642616,t_x
3.125,0.12589894508859287,t_x
1.5625,0.1486210864489421,t_x
0.78125,0.1901373220971585,t_x
0.390625,0.2576168205336372,t_x
0.1953125,0.39396186222387003,t_x
0.09765625,0.5572774935952511,t_x
0.048828125,0.721646866513813,t_x
0.0244140625,0.8547529841972784,t_x
0.01220703125,0.7910894212175029,t_x
0.006103515625,0.9703431922252829,t_x
0.0030517578125,0.9820421821395585,t_x
0.00152587890625,0.9953877883248713,t_x
50.0,0.09720213496304056,+Condition t_x
25.0,0.09596124522127104,+Condition t_x
12.5,0.0947283778331045,+Condition t_x
6.25,0.09870254792552059,+Condition t_x
3.125,0.11638238535129976,+Condition t_x
1.5625,0.0992860953109048,+Condition t_x
0.78125,0.1261571169585355,+Condition t_x
0.390625,0.1260690118563514,+Condition t_x
0.1953125,0.19343738852510683,+Condition t_x
0.09765625,0.31018063560809017,+Condition t_x
0.048828125,0.48291284961622793,+Condition t_x
0.0244140625,0.724038281107112,+Condition t_x
0.01220703125,0.9082727503162915,+Condition t_x
0.006103515625,1.0013307932528412,+Condition t_x
0.0030517578125,1.0528793640789251,+Condition t_x
0.00152587890625,1.0961220356392936,+Condition t_x
